"log_date"	"app_name"	"user_id"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"
"2013-10-31"	"game-01"	654133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	25655	0	0	0	0	0	46
"2013-10-31"	"game-01"	425530	0	0	0	0	10	1	233	58.25	288	230	19	2	19	13	13	28	6	11	0	0	0	0	0	0.5	0.92857	0.9375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0.92174	19	20	180543	347	36	22	4	0	0	71
"2013-10-31"	"game-01"	709596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	24817	0	0	0	0	0	2
"2013-10-31"	"game-01"	525047	0	2	0	0	9	0	0	0	177	160	0	0	30	8	9	13	8	9	0	2	0	0	0	0	0.93333	0.9096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0.93125	22	22	35200	6412	21	0	0	0	0	109
"2013-10-31"	"game-01"	796908	0	0	0	0	0	0	0	0	5	30	0	0	1	1	1	2	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.83333	29	29	388	25444	1	0	0	0	0	64
"2013-10-31"	"game-01"	776120	0	0	0	0	9	0	0	0	325	195	38	8	19	10	11	25	11	11	0	0	0	0	0	0	0.92424	0.94462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0.90256	19	38	142214	684	37	15	0	0	0	312
"2013-10-31"	"game-01"	799948	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	744	23580	0	0	0	0	0	62
"2013-10-31"	"game-01"	276197	0	0	0	0	7	0	58	7.25	150	100	15	3	11	5	5	19	3	7	0	0	0	0	0	0	0.83333	0.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0.92	15	15	54602	4226	15	0	8	0	0	95
"2013-10-31"	"game-01"	221572	0	0	0	0	1	0	0	0	40	14	0	0	3	0	1	13	1	1	0	0	0	0	0	0	0.90909	0.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.85714	24	24	39891	5792	4	0	0	0	0	21
"2013-10-31"	"game-01"	692433	0	0	0	0	6	0	0	0	102	95	0	0	2	2	5	12	5	3	0	0	0	0	0	0	1	0.92157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0.73684	15	28	50706	4549	16	8	0	0	0	154
"2013-10-31"	"game-01"	853516	0	2	0	0	2	0	12	12	52	60	0	0	6	4	4	3	3	1	0	0	0	0	0	0	1	0.90385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0.9	15	15	5953	15157	7	3	1	1	0.875	8
"2013-10-31"	"game-01"	950607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	25797	0	0	0	0	0	2
"2013-10-31"	"game-01"	424225	0	0	0	0	9	0	0	0	200	190	29	8	14	7	7	24	8	9	0	2	0	0	0	0	0.875	0.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0.83158	28	29	85909	2258	23	10	0	1	0.9	297
"2013-10-31"	"game-01"	999182	0	0	0	0	0	0	0	0	19	14	0	0	3	2	2	1	1	0	0	0	0	0	0	0	0.85714	0.89474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	12	12	2064	19986	3	2	0	0	0	21
"2013-10-31"	"game-01"	107707	0	0	0	0	7	6	96	10.67	202	330	27	5	9	9	10	29	8	5	0	2	0	0	4	0	0.95556	0.87129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0.83939	26	27	121730	1056	22	6	9	0	0	130
"2013-10-31"	"game-01"	476345	0	1	0	0	2	0	69	23	211	100	16	3	16	8	8	25	5	3	0	0	0	0	0	0	0.82609	0.85308	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	10	0.88	16	16	131492	854	24	9	3	0	0	96
"2013-10-31"	"game-01"	784305	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23045	8461	0	0	0	0	0	59
"2013-10-31"	"game-01"	611831	0	0	0	0	6	0	64	7.11	249	220	19	7	12	10	12	25	7	6	0	0	0	0	0	0	0.89796	0.84739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0.95455	19	19	99062	1702	27	5	9	0	0	150
"2013-10-31"	"game-01"	657535	0	0	0	0	0	0	0	0	15	42	0	0	5	2	2	3	2	0	0	0	0	0	0	0	0.83333	0.93333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0.92857	13	13	3758	17244	2	0	0	0	0	20
"2013-10-31"	"game-01"	71493	0	0	0	0	0	0	0	0	10	18	0	0	6	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.94444	3	3	9956	12728	1	0	0	0	0	7
"2013-10-31"	"game-01"	91196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3690	17320	0	0	0	0	0	36
"2013-10-31"	"game-01"	912311	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2227	19660	0	0	0	0	0	30
"2013-10-31"	"game-01"	162340	0	1	0	0	3	1	0	0	5	10	0	0	8	1	1	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	11	2308	19503	1	0	0	0	0	110
"2013-10-31"	"game-01"	103466	0	2	0	0	1	0	0	0	20	33	0	0	10	4	4	5	4	1	0	1	0	0	0	0	0.8	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.87879	13	13	5563	15476	4	1	0	1	0.88889	12
"2013-10-31"	"game-01"	440748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	24597	0	0	0	0	0	3
"2013-10-31"	"game-01"	848259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1843	20423	0	0	0	0	0	11
"2013-10-31"	"game-01"	933222	0	0	0	0	0	0	0	0	25	8	0	0	11	2	2	3	1	0	0	0	0	0	0	0	0.83333	0.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.625	23	23	3626	17424	3	1	0	0	0	40
"2013-10-31"	"game-01"	567082	0	0	0	0	5	0	0	0	120	56	0	0	3	4	4	14	4	6	0	1	0	0	0	0	0.86957	0.88333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0.91071	18	18	37775	6066	12	0	0	0	0	34
"2013-10-31"	"game-01"	761387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4972	15975	0	0	0	0	0	3
"2013-10-31"	"game-01"	801373	0	0	0	0	2	1	0	0	77	120	19	2	15	6	6	17	2	2	0	0	0	0	0	0	0.8125	0.74026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0.75833	18	19	48811	4720	8	1	0	0	0	106
"2013-10-31"	"game-01"	334427	0	0	0	0	0	0	0	0	24	70	15	3	0	3	3	5	3	0	0	0	0	0	0	0	1	0.91667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0.84286	15	15	5808	15280	4	1	0	0	0	83
"2013-10-31"	"game-01"	233368	0	0	0	0	6	0	0	0	112	70	20	2	6	4	7	23	2	6	0	0	0	0	0	0	0.95652	0.92857	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	7	0.91429	20	21	78565	2603	12	2	0	0	0	58
"2013-10-31"	"game-01"	806187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18392	9621	0	0	0	0	0	4
"2013-10-31"	"game-01"	123061	0	0	0	0	1	0	0	0	10	6	0	0	3	1	1	5	1	0	0	0	0	0	0	0	0.8	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	8	16651	10172	2	2	0	0	0	11
"2013-10-31"	"game-01"	823436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	25135	0	0	0	0	0	6
"2013-10-31"	"game-01"	128290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5832	15256	0	0	0	0	0	143
"2013-10-31"	"game-01"	807768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3900	17065	0	0	0	0	0	17
"2013-10-31"	"game-01"	705026	0	0	0	0	8	0	257	85.67	224	180	0	0	90	16	17	30	3	6	0	0	0	0	0	1	0.95455	0.99107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1	41	41	316022	54	27	12	3	0	0	318
"2013-10-31"	"game-01"	75617	0	0	0	0	8	0	21	5.25	81	60	21	4	8	10	10	8	4	3	0	1	0	0	0	0	0.94737	0.91358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0.88333	21	21	16729	10138	10	2	4	0	0	64
"2013-10-31"	"game-01"	661832	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4696	16249	0	0	0	0	0	98
"2013-10-31"	"game-01"	768770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	768	23461	0	0	0	0	0	5
"2013-10-31"	"game-01"	92089	0	0	0	0	0	0	0	0	30	24	20	1	2	1	1	14	1	0	0	0	0	0	0	0	0.9	0.83333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.875	20	20	37881	6048	3	0	0	0	0	34
"2013-10-31"	"game-01"	928417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	26126	0	0	0	0	0	2
"2013-10-31"	"game-01"	633348	0	0	0	0	2	0	0	0	70	120	0	0	50	2	3	13	2	1	0	0	0	0	0	0	0.96429	0.91429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0.84167	11	12	44583	5184	9	4	0	0	0	49
"2013-10-31"	"game-01"	434354	0	0	0	0	0	0	0	0	0	12	0	0	3	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.66667	17	17	284	26476	0	0	0	0	0	5
"2013-10-31"	"game-01"	296636	0	1	0	0	1	0	0	0	51	77	0	0	10	4	5	3	3	1	0	1	0	0	0	0	1	0.86275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0.90909	15	15	19353	9333	7	4	0	1	0.9	17
"2013-10-31"	"game-01"	671354	0	0	0	0	4	0	0	0	40	20	0	0	24	0	1	11	1	0	0	0	0	0	0	0	1	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	17	17	18080	9721	4	0	0	0	0	123
"2013-10-31"	"game-01"	912264	0	0	0	0	2	0	0	0	47	6	0	0	5	2	3	0	0	2	0	0	0	0	0	0	0.875	0.91489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.5	10	10	13761	11121	5	0	0	0	0	7
"2013-10-31"	"game-01"	734245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3244	17975	0	0	0	0	0	22
"2013-10-31"	"game-01"	715935	0	1	0	0	2	1	0	0	17	51	4	3	6	3	3	4	3	1	0	0	0	0	1	0	1	0.94118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0.88235	4	4	1288	21728	3	0	0	1	1	4
"2013-10-31"	"game-01"	963960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3194	18052	0	0	0	0	0	10
"2013-10-31"	"game-01"	302505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3066	18241	0	0	0	0	0	5
"2013-10-31"	"game-01"	32649	0	1	0	0	0	1	15	15	10	24	0	0	3	2	2	2	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.91667	18	18	840	23121	2	0	1	0	0	35
"2013-10-31"	"game-01"	659259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6411	14819	0	0	0	0	0	14
"2013-10-31"	"game-01"	551618	0	0	0	0	0	0	0	0	20	42	13	3	11	2	2	2	3	0	0	0	0	0	0	0	1	0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0.88095	13	13	1232	21894	4	0	0	0	0	21
"2013-10-31"	"game-01"	311445	0	0	0	0	1	0	0	0	31	20	24	1	3	3	3	8	1	1	0	0	0	0	0	0	1	0.96774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.75	24	24	21950	8678	4	1	0	0	0	89
"2013-10-31"	"game-01"	31197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	567	24308	0	0	0	0	0	7
